Status,Duration in month,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors / guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,Foreign worker,Score,Young/Old
0.00000000,6.00000000,4.00000000,4.00000000,1169.00000000,4.00000000,4.00000000,4.00000000,2.00000000,0.00000000,4.00000000,0.00000000,67.00000000,2.00000000,1.00000000,2.00000000,2.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000
1.00000000,48.00000000,2.00000000,4.00000000,5951.00000000,0.00000000,2.00000000,2.00000000,1.00000000,0.00000000,2.00000000,0.00000000,22.00000000,2.00000000,1.00000000,1.00000000,2.00000000,1.00000000,0.00000000,0.00000000,2.00000000,0.00000000
3.00000000,12.00000000,4.00000000,7.00000000,2096.00000000,0.00000000,3.00000000,2.00000000,2.00000000,0.00000000,3.00000000,0.00000000,49.00000000,2.00000000,1.00000000,1.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.00000000,42.00000000,2.00000000,3.00000000,7882.00000000,0.00000000,3.00000000,2.00000000,2.00000000,2.00000000,4.00000000,1.00000000,45.00000000,2.00000000,2.00000000,1.00000000,2.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.00000000,24.00000000,3.00000000,0.00000000,4870.00000000,0.00000000,2.00000000,3.00000000,2.00000000,0.00000000,4.00000000,3.00000000,53.00000000,2.00000000,2.00000000,2.00000000,2.00000000,2.00000000,0.00000000,0.00000000,2.00000000,1.00000000
3.00000000,36.00000000,2.00000000,7.00000000,9055.00000000,4.00000000,2.00000000,2.00000000,2.00000000,0.00000000,4.00000000,3.00000000,35.00000000,2.00000000,2.00000000,1.00000000,1.00000000,2.00000000,1.00000000,0.00000000,1.00000000,1.00000000
3.00000000,24.00000000,2.00000000,3.00000000,2835.00000000,2.00000000,4.00000000,3.00000000,2.00000000,0.00000000,4.00000000,1.00000000,53.00000000,2.00000000,1.00000000,1.00000000,2.00000000,1.00000000,0.00000000,0.00000000,1.00000000,1.00000000
1.00000000,36.00000000,2.00000000,1.00000000,6948.00000000,0.00000000,2.00000000,2.00000000,2.00000000,0.00000000,2.00000000,2.00000000,35.00000000,2.00000000,0.00000000,1.00000000,3.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000
3.00000000,12.00000000,2.00000000,4.00000000,3059.00000000,3.00000000,3.00000000,2.00000000,0.00000000,0.00000000,4.00000000,0.00000000,61.00000000,2.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.00000000,0.00000000,1.00000000,1.00000000
1.00000000,30.00000000,4.00000000,0.00000000,5234.00000000,0.00000000,0.00000000,4.00000000,3.00000000,0.00000000,2.00000000,2.00000000,28.00000000,2.00000000,1.00000000,2.00000000,3.00000000,1.00000000,0.00000000,0.00000000,2.00000000,1.00000000
1.00000000,12.00000000,2.00000000,0.00000000,1295.00000000,0.00000000,1.00000000,3.00000000,1.00000000,0.00000000,1.00000000,2.00000000,25.00000000,2.00000000,0.00000000,1.00000000,2.00000000,1.00000000,0.00000000,0.00000000,2.00000000,0.00000000
0.00000000,48.00000000,2.00000000,9.00000000,4308.00000000,0.00000000,1.00000000,3.00000000,1.00000000,0.00000000,4.00000000,1.00000000,24.00000000,2.00000000,0.00000000,1.00000000,2.00000000,1.00000000,0.00000000,0.00000000,2.00000000,0.00000000
1.00000000,12.00000000,2.00000000,4.00000000,1567.00000000,0.00000000,2.00000000,1.00000000,1.00000000,0.00000000,1.00000000,2.00000000,22.00000000,2.00000000,1.00000000,1.00000000,2.00000000,1.00000000,1.00000000,0.00000000,1.00000000,0.00000000
0.00000000,24.00000000,4.00000000,0.00000000,1199.00000000,0.00000000,4.00000000,4.00000000,2.00000000,0.00000000,4.00000000,2.00000000,60.00000000,2.00000000,1.00000000,2.00000000,1.00000000,1.00000000,0.00000000,0.00000000,2.00000000,1.00000000
0.00000000,15.00000000,2.00000000,0.00000000,1403.00000000,0.00000000,2.00000000,2.00000000,1.00000000,0.00000000,4.00000000,2.00000000,28.00000000,2.00000000,0.00000000,1.00000000,2.00000000,1.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.00000000,24.00000000,2.00000000,4.00000000,1282.00000000,1.00000000,2.00000000,4.00000000,1.00000000,0.00000000,2.00000000,2.00000000,32.00000000,2.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.00000000,0.00000000,2.00000000,1.00000000
3.00000000,24.00000000,4.00000000,4.00000000,2424.00000000,4.00000000,4.00000000,4.00000000,2.00000000,0.00000000,4.00000000,1.00000000,53.00000000,2.00000000,1.00000000,2.00000000,2.00000000,1.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.00000000,30.00000000,0.00000000,9.00000000,8072.00000000,4.00000000,1.00000000,2.00000000,2.00000000,0.00000000,3.00000000,2.00000000,25.00000000,0.00000000,1.00000000,3.00000000,2.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000
1.00000000,24.00000000,2.00000000,1.00000000,12579.00000000,0.00000000,4.00000000,4.00000000,1.00000000,0.00000000,2.00000000,3.00000000,44.00000000,2.00000000,2.00000000,1.00000000,3.00000000,1.00000000,1.00000000,0.00000000,2.00000000,1.00000000
3.00000000,24.00000000,2.00000000,4.00000000,3430.00000000,2.00000000,4.00000000,3.00000000,2.00000000,0.00000000,2.00000000,2.00000000,31.00000000,2.00000000,1.00000000,1.00000000,2.00000000,2.00000000,1.00000000,0.00000000,1.00000000,1.00000000
3.00000000,9.00000000,4.00000000,0.00000000,2134.00000000,0.00000000,2.00000000,4.00000000,2.00000000,0.00000000,4.00000000,2.00000000,48.00000000,2.00000000,1.00000000,3.00000000,2.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000
0.00000000,6.00000000,2.00000000,4.00000000,2647.00000000,2.00000000,2.00000000,2.00000000,2.00000000,0.00000000,3.00000000,0.00000000,44.00000000,2.00000000,0.00000000,1.00000000,2.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.00000000,10.00000000,4.00000000,0.00000000,2241.00000000,0.00000000,1.00000000,1.00000000,2.00000000,0.00000000,3.00000000,0.00000000,48.00000000,2.00000000,0.00000000,2.00000000,1.00000000,2.00000000,0.00000000,1.00000000,1.00000000,1.00000000
1.00000000,12.00000000,4.00000000,1.00000000,1804.00000000,1.00000000,1.00000000,3.00000000,2.00000000,0.00000000,4.00000000,1.00000000,44.00000000,2.00000000,1.00000000,1.00000000,2.00000000,1.00000000,0.00000000,0.00000000,1.00000000,1.00000000
3.00000000,10.00000000,4.00000000,3.00000000,2069.00000000,4.00000000,2.00000000,2.00000000,3.00000000,0.00000000,1.00000000,2.00000000,26.00000000,2.00000000,1.00000000,2.00000000,2.00000000,1.00000000,0.00000000,1.00000000,1.00000000,1.00000000
0.00000000,6.00000000,2.00000000,3.00000000,1374.00000000,0.00000000,2.00000000,1.00000000,2.00000000,0.00000000,2.00000000,0.00000000,36.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000
3.00000000,6.00000000,0.00000000,4.00000000,426.00000000,0.00000000,4.00000000,4.00000000,3.00000000,0.00000000,4.00000000,2.00000000,39.00000000,2.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.00000000,0.00000000,1.00000000,1.00000000
2.00000000,12.00000000,1.00000000,4.00000000,409.00000000,3.00000000,2.00000000,3.00000000,1.00000000,0.00000000,3.00000000,0.00000000,42.00000000,2.00000000,0.00000000,2.00000000,2.00000000,1.00000000,0.00000000,0.00000000,1.00000000,1.00000000
1.00000000,7.00000000,2.00000000,4.00000000,2415.00000000,0.00000000,2.00000000,3.00000000,2.00000000,2.00000000,2.00000000,0.00000000,34.00000000,2.00000000,1.00000000,1.00000000,2.00000000,1.00000000,0.00000000,0.00000000,1.00000000,1.00000000
0.00000000,60.00000000,3.00000000,9.00000000,6836.00000000,0.00000000,4.00000000,3.00000000,2.00000000,0.00000000,4.00000000,3.00000000,63.00000000,2.00000000,1.00000000,2.00000000,2.00000000,1.00000000,1.00000000,0.00000000,2.00000000,1.00000000
1.00000000,18.00000000,2.00000000,9.00000000,1913.00000000,3.00000000,1.00000000,3.00000000,3.00000000,0.00000000,3.00000000,0.00000000,36.00000000,0.00000000,1.00000000,1.00000000,2.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000
0.00000000,24.00000000,2.00000000,3.00000000,4020.00000000,0.00000000,2.00000000,2.00000000,2.00000000,0.00000000,2.00000000,2.00000000,27.00000000,1.00000000,1.00000000,1.00000000,2.00000000,1.00000000,0.00000000,0.00000000,1.00000000,1.00000000
1.00000000,18.00000000,2.00000000,0.00000000,5866.00000000,1.00000000,2.00000000,2.00000000,2.00000000,0.00000000,2.00000000,2.00000000,30.00000000,2.00000000,1.00000000,2.00000000,2.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000
3.00000000,12.00000000,4.00000000,9.00000000,1264.00000000,4.00000000,4.00000000,4.00000000,2.00000000,0.00000000,4.00000000,3.00000000,57.00000000,2.00000000,0.00000000,1.00000000,1.00000000,1.00000000,0.00000000,0.00000000,1.00000000,1.00000000
2.00000000,12.00000000,2.00000000,3.00000000,1474.00000000,0.00000000,1.00000000,4.00000000,1.00000000,0.00000000,1.00000000,1.00000000,33.00000000,0.00000000,1.00000000,1.00000000,3.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000
1.00000000,45.00000000,4.00000000,4.00000000,4746.00000000,0.00000000,1.00000000,4.00000000,2.00000000,0.00000000,2.00000000,1.00000000,25.00000000,2.00000000,1.00000000,2.00000000,1.00000000,1.00000000,0.00000000,0.00000000,2.00000000,0.00000000
3.00000000,48.00000000,4.00000000,7.00000000,6110.00000000,0.00000000,2.00000000,1.00000000,2.00000000,0.00000000,3.00000000,3.00000000,31.00000000,0.00000000,2.00000000,1.00000000,2.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000
2.00000000,18.00000000,2.00000000,4.00000000,2100.00000000,0.00000000,2.00000000,4.00000000,2.00000000,1.00000000,2.00000000,0.00000000,37.00000000,1.00000000,1.00000000,1.00000000,2.00000000,1.00000000,0.00000000,0.00000000,2.00000000,1.00000000
2.00000000,10.00000000,2.00000000,5.00000000,1225.00000000,0.00000000,2.00000000,2.00000000,2.00000000,0.00000000,2.00000000,2.00000000,37.00000000,2.00000000,1.00000000,1.00000000,2.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000
1.00000000,9.00000000,2.00000000,4.00000000,458.00000000,0.00000000,2.00000000,4.00000000,2.00000000,0.00000000,3.00000000,0.00000000,24.00000000,2.00000000,1.00000000,1.00000000,2.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000
3.00000000,30.00000000,2.00000000,4.00000000,2333.00000000,2.00000000,4.00000000,4.00000000,2.00000000,0.00000000,2.00000000,2.00000000,30.00000000,0.00000000,1.00000000,1.00000000,3.00000000,1.00000000,0.00000000,0.00000000,1.00000000,1.00000000
1.00000000,12.00000000,2.00000000,4.00000000,1158.00000000,2.00000000,2.00000000,3.00000000,0.00000000,0.00000000,1.00000000,2.00000000,26.00000000,2.00000000,1.00000000,1.00000000,2.00000000,1.00000000,1.00000000,0.00000000,1.00000000,1.00000000
